"threshold","precision","recall","f1","accuracy","roc_auc","pr_auc","tp","fp","tn","fn"
0.05,0.459558823529412,1,0.629722921914358,0.524271844660194,0.788826086956522,0.640929795437529,125,147,37,0
0.06,0.466417910447761,1,0.636132315521629,0.537216828478964,0.788826086956522,0.640929795437529,125,143,41,0
0.07,0.475285171102662,1,0.644329896907217,0.553398058252427,0.788826086956522,0.640929795437529,125,138,46,0
0.08,0.477099236641221,1,0.645994832041344,0.55663430420712,0.788826086956522,0.640929795437529,125,137,47,0
0.09,0.474903474903475,0.984,0.640625,0.553398058252427,0.788826086956522,0.640929795437529,123,136,48,2
0.1,0.484126984126984,0.976,0.647214854111406,0.56957928802589,0.788826086956522,0.640929795437529,122,130,54,3
0.11,0.48605577689243,0.976,0.648936170212766,0.572815533980582,0.788826086956522,0.640929795437529,122,129,55,3
0.12,0.48995983935743,0.976,0.652406417112299,0.579288025889968,0.788826086956522,0.640929795437529,122,127,57,3
0.13,0.489795918367347,0.96,0.648648648648649,0.579288025889968,0.788826086956522,0.640929795437529,120,125,59,5
0.14,0.5,0.96,0.657534246575342,0.59546925566343,0.788826086956522,0.640929795437529,120,120,64,5
0.15,0.502092050209205,0.96,0.659340659340659,0.598705501618123,0.788826086956522,0.640929795437529,120,119,65,5
0.16,0.508474576271186,0.96,0.664819944598338,0.608414239482201,0.788826086956522,0.640929795437529,120,116,68,5
0.17,0.51063829787234,0.96,0.666666666666667,0.611650485436893,0.788826086956522,0.640929795437529,120,115,69,5
0.18,0.517543859649123,0.944,0.668555240793201,0.621359223300971,0.788826086956522,0.640929795437529,118,110,74,7
0.19,0.531531531531532,0.944,0.680115273775216,0.640776699029126,0.788826086956522,0.640929795437529,118,104,80,7
0.2,0.542056074766355,0.928,0.684365781710914,0.653721682847896,0.788826086956522,0.640929795437529,116,98,86,9
0.21,0.545023696682464,0.92,0.684523809523809,0.656957928802589,0.788826086956522,0.640929795437529,115,96,88,10
0.22,0.548076923076923,0.912,0.684684684684685,0.660194174757282,0.788826086956522,0.640929795437529,114,94,90,11
0.23,0.558823529411765,0.912,0.693009118541033,0.673139158576052,0.788826086956522,0.640929795437529,114,90,94,11
0.24,0.554455445544555,0.896,0.685015290519878,0.666666666666667,0.788826086956522,0.640929795437529,112,90,94,13
0.25,0.560606060606061,0.888,0.687306501547988,0.673139158576052,0.788826086956522,0.640929795437529,111,87,97,14
0.26,0.564102564102564,0.88,0.6875,0.676375404530744,0.788826086956522,0.640929795437529,110,85,99,15
0.27,0.567708333333333,0.872,0.687697160883281,0.679611650485437,0.788826086956522,0.640929795437529,109,83,101,16
0.28,0.576719576719577,0.872,0.694267515923567,0.689320388349515,0.788826086956522,0.640929795437529,109,80,104,16
0.29,0.581521739130435,0.856,0.692556634304207,0.692556634304207,0.788826086956522,0.640929795437529,107,77,107,18
0.3,0.588888888888889,0.848,0.695081967213115,0.699029126213592,0.788826086956522,0.640929795437529,106,74,110,19
0.31,0.603448275862069,0.84,0.702341137123746,0.711974110032362,0.788826086956522,0.640929795437529,105,69,115,20
0.32,0.611764705882353,0.832,0.705084745762712,0.718446601941748,0.788826086956522,0.640929795437529,104,66,118,21
0.33,0.620481927710843,0.824,0.707903780068729,0.724919093851133,0.788826086956522,0.640929795437529,103,63,121,22
0.34,0.62111801242236,0.8,0.699300699300699,0.72168284789644,0.788826086956522,0.640929795437529,100,61,123,25
0.35,0.632911392405063,0.8,0.706713780918728,0.731391585760518,0.788826086956522,0.640929795437529,100,58,126,25
0.36,0.636363636363636,0.784,0.702508960573477,0.731391585760518,0.788826086956522,0.640929795437529,98,56,128,27
0.37,0.640522875816993,0.784,0.705035971223022,0.73462783171521,0.788826086956522,0.640929795437529,98,55,129,27
0.38,0.641891891891892,0.76,0.695970695970696,0.731391585760518,0.788826086956522,0.640929795437529,95,53,131,30
0.39,0.641379310344828,0.744,0.688888888888889,0.728155339805825,0.788826086956522,0.640929795437529,93,52,132,32
0.4,0.640845070422535,0.728,0.681647940074906,0.724919093851133,0.788826086956522,0.640929795437529,91,51,133,34
0.41,0.65,0.728,0.686792452830189,0.731391585760518,0.788826086956522,0.640929795437529,91,49,135,34
0.42,0.64963503649635,0.712,0.679389312977099,0.728155339805825,0.788826086956522,0.640929795437529,89,48,136,36
0.43,0.647058823529412,0.704,0.674329501915709,0.724919093851133,0.788826086956522,0.640929795437529,88,48,136,37
0.44,0.66412213740458,0.696,0.6796875,0.73462783171521,0.788826086956522,0.640929795437529,87,44,140,38
0.45,0.666666666666667,0.688,0.677165354330709,0.73462783171521,0.788826086956522,0.640929795437529,86,43,141,39
