"feature","group","is_numeric","missing_share","unique_values","standard_deviation","keep_technical","remove_reason","priority_score"
"S2_m04_NBR","S2_monthly",TRUE,0,309,0.207117886129259,TRUE,"behalten",1
"S2_m04_NBR2","S2_monthly",TRUE,0,308,0.0828652781199527,TRUE,"behalten",1
"S2_m04_NDMI","S2_monthly",TRUE,0,309,0.171145624434781,TRUE,"behalten",1
"S2_m04_NDRE","S2_monthly",TRUE,0,309,0.183703109452327,TRUE,"behalten",1
"S2_m04_NDVI","S2_monthly",TRUE,0,308,0.240573200921351,TRUE,"behalten",1
"S2_m04_NDWI","S2_monthly",TRUE,0,309,0.247955784227185,TRUE,"behalten",1
"S2_m04_blue","S2_monthly",TRUE,0,272,0.0450876966489894,TRUE,"behalten",-1
"S2_m04_green","S2_monthly",TRUE,0,283,0.0492174171989864,TRUE,"behalten",-1
"S2_m04_nir","S2_monthly",TRUE,0,302,0.10954264727851,TRUE,"behalten",-1
"S2_m04_nir8a","S2_monthly",TRUE,0,298,0.108751698795808,TRUE,"behalten",-1
"S2_m04_re1","S2_monthly",TRUE,0,287,0.0601624880614075,TRUE,"behalten",-1
"S2_m04_re2","S2_monthly",TRUE,0,295,0.0862627463078326,TRUE,"behalten",-1
"S2_m04_re3","S2_monthly",TRUE,0,298,0.101310216753935,TRUE,"behalten",-1
"S2_m04_red","S2_monthly",TRUE,0,287,0.0581742155490488,TRUE,"behalten",-1
"S2_m04_swir1","S2_monthly",TRUE,0,298,0.0902438097830355,TRUE,"behalten",-1
"S2_m04_swir2","S2_monthly",TRUE,0,295,0.073023013979955,TRUE,"behalten",-1
"S2_m05_EVI","S2_monthly",TRUE,0,309,0.24055778912626,TRUE,"behalten",1
"S2_m05_MNDWI","S2_monthly",TRUE,0,309,0.225975601684017,TRUE,"behalten",1
"S2_m05_NBR","S2_monthly",TRUE,0,309,0.257230554606684,TRUE,"behalten",1
"S2_m05_NBR2","S2_monthly",TRUE,0,309,0.10693033003042,TRUE,"behalten",1
"S2_m05_NDMI","S2_monthly",TRUE,0,309,0.205119869304666,TRUE,"behalten",1
"S2_m05_NDRE","S2_monthly",TRUE,0,309,0.208139667793181,TRUE,"behalten",1
"S2_m05_NDVI","S2_monthly",TRUE,0,309,0.279648430090554,TRUE,"behalten",1
"S2_m05_NDWI","S2_monthly",TRUE,0,309,0.260889225268059,TRUE,"behalten",1
"S2_m05_blue","S2_monthly",TRUE,0,268,0.0480137495252878,TRUE,"behalten",-1
"S2_m05_green","S2_monthly",TRUE,0,281,0.051424097641727,TRUE,"behalten",-1
"S2_m05_nir","S2_monthly",TRUE,0,295,0.127023097131389,TRUE,"behalten",-1
"S2_m05_nir8a","S2_monthly",TRUE,0,302,0.127009290046524,TRUE,"behalten",-1
"S2_m05_re1","S2_monthly",TRUE,0,290,0.0627844284511089,TRUE,"behalten",-1
"S2_m05_re2","S2_monthly",TRUE,0,302,0.0968944536812841,TRUE,"behalten",-1
"S2_m05_re3","S2_monthly",TRUE,0,300,0.118951699570174,TRUE,"behalten",-1
"S2_m05_red","S2_monthly",TRUE,0,287,0.0638280004719254,TRUE,"behalten",-1
"S2_m05_swir1","S2_monthly",TRUE,0,298,0.0905207424764431,TRUE,"behalten",-1
"S2_m05_swir2","S2_monthly",TRUE,0,291,0.07957659471053,TRUE,"behalten",-1
"S2_m06_EVI","S2_monthly",TRUE,0,309,0.240406351195662,TRUE,"behalten",1
"S2_m06_MNDWI","S2_monthly",TRUE,0,309,0.23532725089488,TRUE,"behalten",1
"S2_m06_NBR","S2_monthly",TRUE,0,309,0.235804589141806,TRUE,"behalten",1
"S2_m06_NBR2","S2_monthly",TRUE,0,308,0.105557278209199,TRUE,"behalten",1
"S2_m06_NDMI","S2_monthly",TRUE,0,309,0.186832948506849,TRUE,"behalten",1
"S2_m06_NDRE","S2_monthly",TRUE,0,309,0.21001548627203,TRUE,"behalten",1
"S2_m06_NDVI","S2_monthly",TRUE,0,309,0.273906721794192,TRUE,"behalten",1
"S2_m06_NDWI","S2_monthly",TRUE,0,309,0.259096474781895,TRUE,"behalten",1
"S2_m06_blue","S2_monthly",TRUE,0,266,0.0476684366255453,TRUE,"behalten",-1
"S2_m06_green","S2_monthly",TRUE,0,270,0.0512167446551277,TRUE,"behalten",-1
"S2_m06_nir","S2_monthly",TRUE,0,302,0.122893758876819,TRUE,"behalten",-1
"S2_m06_nir8a","S2_monthly",TRUE,0,304,0.12511895907677,TRUE,"behalten",-1
"S2_m06_re1","S2_monthly",TRUE,0,294,0.0604944530547816,TRUE,"behalten",-1
"S2_m06_re2","S2_monthly",TRUE,0,301,0.0940158299853075,TRUE,"behalten",-1
"S2_m06_re3","S2_monthly",TRUE,0,299,0.116834115717545,TRUE,"behalten",-1
"S2_m06_red","S2_monthly",TRUE,0,278,0.0615131309641895,TRUE,"behalten",-1
"S2_m06_swir1","S2_monthly",TRUE,0,293,0.079760209010349,TRUE,"behalten",-1
"S2_m06_swir2","S2_monthly",TRUE,0,295,0.0701279895146537,TRUE,"behalten",-1
"S2_m07_EVI","S2_monthly",TRUE,0.00970873786407767,306,0.266842910383693,TRUE,"behalten",0.990291262135922
"S2_m07_MNDWI","S2_monthly",TRUE,0.00970873786407767,306,0.230426791112522,TRUE,"behalten",0.990291262135922
"S2_m07_NBR","S2_monthly",TRUE,0.00970873786407767,305,0.270426044964824,TRUE,"behalten",0.990291262135922
"S2_m07_NBR2","S2_monthly",TRUE,0.00970873786407767,306,0.107525671741179,TRUE,"behalten",0.990291262135922
"S2_m07_NDMI","S2_monthly",TRUE,0.00970873786407767,305,0.215725688674628,TRUE,"behalten",0.990291262135922
"S2_m07_NDRE","S2_monthly",TRUE,0.00970873786407767,305,0.2540508646113,TRUE,"behalten",0.990291262135922
"S2_m07_NDVI","S2_monthly",TRUE,0.00970873786407767,305,0.313266231228029,TRUE,"behalten",0.990291262135922
"S2_m07_NDWI","S2_monthly",TRUE,0.00970873786407767,305,0.290978314688326,TRUE,"behalten",0.990291262135922
"S2_m07_blue","S2_monthly",TRUE,0.00970873786407767,274,0.0525767452859372,TRUE,"behalten",-1.00970873786408
"S2_m07_green","S2_monthly",TRUE,0.00970873786407767,280,0.0562260990473203,TRUE,"behalten",-1.00970873786408
"S2_m07_nir","S2_monthly",TRUE,0.00970873786407767,297,0.125678031358373,TRUE,"behalten",-1.00970873786408
