"feature","group"
"S2_m10_NDVI","S2_monthly"
"S2_m10_NDWI","S2_monthly"
"S2_m10_blue","S2_monthly"
"S2_m10_green","S2_monthly"
"S2_m10_nir","S2_monthly"
"S2_m10_nir8a","S2_monthly"
"S2_m10_re1","S2_monthly"
"S2_m10_re2","S2_monthly"
"S2_m10_re3","S2_monthly"
"S2_m10_red","S2_monthly"
"S2_m10_swir1","S2_monthly"
"S2_m10_swir2","S2_monthly"
"S2_m11_EVI","S2_monthly"
"S2_m11_MNDWI","S2_monthly"
"S2_m11_NBR","S2_monthly"
"S2_m11_NBR2","S2_monthly"
"S2_m11_NDMI","S2_monthly"
"S2_m11_NDRE","S2_monthly"
"S2_m11_NDVI","S2_monthly"
"S2_m11_NDWI","S2_monthly"
"S2_m11_blue","S2_monthly"
"S2_m11_green","S2_monthly"
"S2_m11_nir","S2_monthly"
"S2_m11_nir8a","S2_monthly"
"S2_m11_re1","S2_monthly"
"S2_m11_re2","S2_monthly"
"S2_m11_re3","S2_monthly"
"S2_m11_red","S2_monthly"
"S2_m11_swir1","S2_monthly"
"S2_m11_swir2","S2_monthly"
"S2_m12_EVI","S2_monthly"
"S2_m12_MNDWI","S2_monthly"
"S2_m12_NBR","S2_monthly"
"S2_m12_NBR2","S2_monthly"
"S2_m12_NDMI","S2_monthly"
"S2_m12_NDRE","S2_monthly"
"S2_m12_NDVI","S2_monthly"
"S2_m12_NDWI","S2_monthly"
"S2_m12_blue","S2_monthly"
"S2_m12_green","S2_monthly"
"S2_m12_nir","S2_monthly"
"S2_m12_nir8a","S2_monthly"
"S2_m12_re1","S2_monthly"
"S2_m12_re2","S2_monthly"
"S2_m12_re3","S2_monthly"
"S2_m12_red","S2_monthly"
"S2_m12_swir1","S2_monthly"
"S2_m12_swir2","S2_monthly"
"S1_m01_ASC_VH","S1_monthly"
"S1_m01_ASC_VV","S1_monthly"
"S1_m01_ASC_VV_minus_VH","S1_monthly"
"S1_m01_DESC_VH","S1_monthly"
"S1_m01_DESC_VV","S1_monthly"
"S1_m01_DESC_VV_minus_VH","S1_monthly"
"S1_m02_ASC_VH","S1_monthly"
"S1_m02_ASC_VV","S1_monthly"
"S1_m02_ASC_VV_minus_VH","S1_monthly"
"S1_m02_DESC_VH","S1_monthly"
"S1_m02_DESC_VV","S1_monthly"
"S1_m02_DESC_VV_minus_VH","S1_monthly"
"S1_m03_ASC_VH","S1_monthly"
"S1_m03_ASC_VV","S1_monthly"
"S1_m03_ASC_VV_minus_VH","S1_monthly"
"S1_m03_DESC_VH","S1_monthly"
"S1_m03_DESC_VV","S1_monthly"
"S1_m03_DESC_VV_minus_VH","S1_monthly"
"S1_m04_ASC_VH","S1_monthly"
"S1_m04_ASC_VV","S1_monthly"
"S1_m04_ASC_VV_minus_VH","S1_monthly"
"S1_m04_DESC_VH","S1_monthly"
"S1_m04_DESC_VV","S1_monthly"
"S1_m04_DESC_VV_minus_VH","S1_monthly"
"S1_m05_ASC_VH","S1_monthly"
"S1_m05_ASC_VV","S1_monthly"
"S1_m05_ASC_VV_minus_VH","S1_monthly"
"S1_m05_DESC_VH","S1_monthly"
"S1_m05_DESC_VV","S1_monthly"
"S1_m05_DESC_VV_minus_VH","S1_monthly"
"S1_m06_ASC_VH","S1_monthly"
"S1_m06_ASC_VV","S1_monthly"
"S1_m06_ASC_VV_minus_VH","S1_monthly"
"S1_m06_DESC_VH","S1_monthly"
"S1_m06_DESC_VV","S1_monthly"
"S1_m06_DESC_VV_minus_VH","S1_monthly"
"S1_m07_ASC_VH","S1_monthly"
"S1_m07_ASC_VV","S1_monthly"
