"feature","group","is_numeric","missing_share","unique_values","standard_deviation","keep_technical","remove_reason","priority_score"
"S1_DESC_VH_annual_max","S1_temporal",TRUE,0,309,3.79348198479512,TRUE,"behalten",3
"S1_DESC_VV_annual_amplitude","S1_temporal",TRUE,0,309,2.32759808160036,TRUE,"behalten",3
"S1_DESC_VV_annual_max","S1_temporal",TRUE,0,309,3.52195754756641,TRUE,"behalten",3
"S1_DESC_VV_annual_min","S1_temporal",TRUE,0,309,4.20539482191607,TRUE,"behalten",3
"S1_DESC_VV_minus_VH_annual_amplitude","S1_temporal",TRUE,0,309,1.75568487454458,TRUE,"behalten",3
"S1_DESC_VV_minus_VH_annual_max","S1_temporal",TRUE,0,309,2.33377865392183,TRUE,"behalten",3
"S1_DESC_VV_minus_VH_annual_min","S1_temporal",TRUE,0,309,1.43942566473135,TRUE,"behalten",3
"S2_m03_EVI","S2_monthly",TRUE,0,309,0.143624985316477,TRUE,"behalten",1
"S2_m03_MNDWI","S2_monthly",TRUE,0,309,0.243607899798023,TRUE,"behalten",1
"S2_m03_NBR","S2_monthly",TRUE,0,309,0.179228459498878,TRUE,"behalten",1
"S2_m03_NBR2","S2_monthly",TRUE,0,308,0.0716753916410639,TRUE,"behalten",1
"S2_m03_NDRE","S2_monthly",TRUE,0,309,0.164598554396972,TRUE,"behalten",1
"S2_m04_MNDWI","S2_monthly",TRUE,0,309,0.242855625275316,TRUE,"behalten",1
"S2_m04_NBR","S2_monthly",TRUE,0,309,0.207117886129259,TRUE,"behalten",1
"S2_m04_NBR2","S2_monthly",TRUE,0,308,0.0828652781199527,TRUE,"behalten",1
"S2_m04_NDVI","S2_monthly",TRUE,0,308,0.240573200921351,TRUE,"behalten",1
"S2_m05_EVI","S2_monthly",TRUE,0,309,0.24055778912626,TRUE,"behalten",1
"S2_m05_MNDWI","S2_monthly",TRUE,0,309,0.225975601684017,TRUE,"behalten",1
"S2_m05_NBR","S2_monthly",TRUE,0,309,0.257230554606684,TRUE,"behalten",1
"S2_m06_EVI","S2_monthly",TRUE,0,309,0.240406351195662,TRUE,"behalten",1
"S2_m06_MNDWI","S2_monthly",TRUE,0,309,0.23532725089488,TRUE,"behalten",1
"S2_m06_NBR","S2_monthly",TRUE,0,309,0.235804589141806,TRUE,"behalten",1
"S2_m06_NDRE","S2_monthly",TRUE,0,309,0.21001548627203,TRUE,"behalten",1
"S2_m08_EVI","S2_monthly",TRUE,0,309,0.226795830522895,TRUE,"behalten",1
"S2_m08_MNDWI","S2_monthly",TRUE,0,309,0.24087457172336,TRUE,"behalten",1
"S2_m08_NBR","S2_monthly",TRUE,0,309,0.246030875576895,TRUE,"behalten",1
"S2_m08_NDRE","S2_monthly",TRUE,0,309,0.224175686033135,TRUE,"behalten",1
"S2_m07_EVI","S2_monthly",TRUE,0.00970873786407767,306,0.266842910383693,TRUE,"behalten",0.990291262135922
"S2_m07_MNDWI","S2_monthly",TRUE,0.00970873786407767,306,0.230426791112522,TRUE,"behalten",0.990291262135922
"S2_m07_NBR","S2_monthly",TRUE,0.00970873786407767,305,0.270426044964824,TRUE,"behalten",0.990291262135922
"S2_m07_NDWI","S2_monthly",TRUE,0.00970873786407767,305,0.290978314688326,TRUE,"behalten",0.990291262135922
"S2_m09_EVI","S2_monthly",TRUE,0.00970873786407767,306,0.229334999005609,TRUE,"behalten",0.990291262135922
"S2_m09_MNDWI","S2_monthly",TRUE,0.00970873786407767,306,0.224446827921929,TRUE,"behalten",0.990291262135922
"S2_m09_NBR","S2_monthly",TRUE,0.00970873786407767,306,0.228880687959728,TRUE,"behalten",0.990291262135922
"S2_m09_NDRE","S2_monthly",TRUE,0.00970873786407767,306,0.208949611474966,TRUE,"behalten",0.990291262135922
"S2_m01_EVI","S2_monthly",TRUE,0.0970873786407767,279,0.173489077289469,TRUE,"behalten",0.902912621359223
"S2_m01_MNDWI","S2_monthly",TRUE,0.0970873786407767,279,0.305111685789003,TRUE,"behalten",0.902912621359223
"S2_m01_NBR","S2_monthly",TRUE,0.0970873786407767,279,0.220688456444305,TRUE,"behalten",0.902912621359223
"S2_m01_NBR2","S2_monthly",TRUE,0.0970873786407767,279,0.103507224555332,TRUE,"behalten",0.902912621359223
"S2_m01_NDRE","S2_monthly",TRUE,0.0970873786407767,279,0.209596866560131,TRUE,"behalten",0.902912621359223
"S2_m10_EVI","S2_monthly",TRUE,0.113268608414239,274,0.207824391434963,TRUE,"behalten",0.886731391585761
"S2_m10_MNDWI","S2_monthly",TRUE,0.113268608414239,274,0.235146237547347,TRUE,"behalten",0.886731391585761
"S2_m10_NBR","S2_monthly",TRUE,0.113268608414239,274,0.228841882743751,TRUE,"behalten",0.886731391585761
"S2_m10_NBR2","S2_monthly",TRUE,0.113268608414239,274,0.104724737138524,TRUE,"behalten",0.886731391585761
"S2_m10_NDRE","S2_monthly",TRUE,0.113268608414239,274,0.19517534814433,TRUE,"behalten",0.886731391585761
"S2_m12_EVI","S2_monthly",TRUE,0.116504854368932,273,0.174683120138035,TRUE,"behalten",0.883495145631068
"S2_m12_MNDWI","S2_monthly",TRUE,0.116504854368932,273,0.242707803789084,TRUE,"behalten",0.883495145631068
"S2_m12_NBR","S2_monthly",TRUE,0.116504854368932,273,0.204878057112943,TRUE,"behalten",0.883495145631068
"S2_m12_NBR2","S2_monthly",TRUE,0.116504854368932,273,0.0856932945161281,TRUE,"behalten",0.883495145631068
"S2_m12_NDRE","S2_monthly",TRUE,0.116504854368932,273,0.179033549159748,TRUE,"behalten",0.883495145631068
"S2_m02_MNDWI","S2_monthly",TRUE,0.132686084142395,268,0.30472934797315,TRUE,"behalten",0.867313915857605
"S2_m02_NBR","S2_monthly",TRUE,0.132686084142395,268,0.197437525109304,TRUE,"behalten",0.867313915857605
"S2_m02_NBR2","S2_monthly",TRUE,0.132686084142395,268,0.0702890145462528,TRUE,"behalten",0.867313915857605
"S2_m02_NDRE","S2_monthly",TRUE,0.132686084142395,268,0.163056980272427,TRUE,"behalten",0.867313915857605
"S2_m11_EVI","S2_monthly",TRUE,0.216828478964401,242,0.154588146500777,TRUE,"behalten",0.783171521035599
"S2_m11_MNDWI","S2_monthly",TRUE,0.216828478964401,241,0.278281187756967,TRUE,"behalten",0.783171521035599
"S2_m11_NBR","S2_monthly",TRUE,0.216828478964401,242,0.224507847615312,TRUE,"behalten",0.783171521035599
"S2_m11_NBR2","S2_monthly",TRUE,0.216828478964401,242,0.0898119977949118,TRUE,"behalten",0.783171521035599
"S2_m11_NDRE","S2_monthly",TRUE,0.216828478964401,242,0.197127090650573,TRUE,"behalten",0.783171521035599
"S2_m03_blue","S2_monthly",TRUE,0,263,0.0408517723880339,TRUE,"behalten",-1
"S2_m03_nir","S2_monthly",TRUE,0,300,0.0953648422417625,TRUE,"behalten",-1
"S2_m03_swir1","S2_monthly",TRUE,0,299,0.0888062457197241,TRUE,"behalten",-1
"S2_m04_re1","S2_monthly",TRUE,0,287,0.0601624880614075,TRUE,"behalten",-1
"S2_m04_red","S2_monthly",TRUE,0,287,0.0581742155490488,TRUE,"behalten",-1
"S2_m05_blue","S2_monthly",TRUE,0,268,0.0480137495252878,TRUE,"behalten",-1
"S2_m05_nir","S2_monthly",TRUE,0,295,0.127023097131389,TRUE,"behalten",-1
"S2_m05_re1","S2_monthly",TRUE,0,290,0.0627844284511089,TRUE,"behalten",-1
"S2_m05_swir1","S2_monthly",TRUE,0,298,0.0905207424764431,TRUE,"behalten",-1
"S2_m06_blue","S2_monthly",TRUE,0,266,0.0476684366255453,TRUE,"behalten",-1
"S2_m06_nir","S2_monthly",TRUE,0,302,0.122893758876819,TRUE,"behalten",-1
"S2_m06_re1","S2_monthly",TRUE,0,294,0.0604944530547816,TRUE,"behalten",-1
"S2_m06_swir1","S2_monthly",TRUE,0,293,0.079760209010349,TRUE,"behalten",-1
"S2_m08_blue","S2_monthly",TRUE,0,269,0.0475591175701947,TRUE,"behalten",-1
"S2_m08_nir","S2_monthly",TRUE,0,304,0.115451693873406,TRUE,"behalten",-1
"S2_m08_re1","S2_monthly",TRUE,0,289,0.0633422200936618,TRUE,"behalten",-1
"S2_m08_swir1","S2_monthly",TRUE,0,299,0.0858511618480438,TRUE,"behalten",-1
"S2_m07_blue","S2_monthly",TRUE,0.00970873786407767,274,0.0525767452859372,TRUE,"behalten",-1.00970873786408
