"rank","feature"
1,"S2_m10_NBR2"
2,"JRC_dist_max_extent_m"
3,"S2_blue_annual_mean"
4,"S2_m11_NDRE"
5,"S2_nir_annual_mean"
6,"S2_m02_nir"
7,"S2_m06_swir1"
8,"S2_NDMI_annual_amplitude"
9,"S2_NDWI_annual_min"
10,"LST_growing_mean_C"
