system:index,LST_growing_amplitude_C,LST_growing_max_C,LST_growing_mean_C,LST_growing_min_C,LST_spring_amplitude_C,LST_spring_max_C,LST_spring_mean_C,LST_spring_min_C,LST_summer_amplitude_C,LST_summer_max_C,LST_summer_mean_C,LST_summer_min_C,area_m2,cls_bin,cls_det,is_moor,poly_id,.geo
0000000000000000007f,26.912258600487807,34.60403365853661,23.494865345278388,7.691775058048802,23.60262465219511,31.294399710243916,21.573984104447657,7.691775058048802,11.40078364243903,34.60403365853661,28.661160208048802,23.203250016097577,2517.0,Kein_Niedermoor,Agriculture,0,P0128,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,22.814543928421056,32.00921466184213,20.900245921363044,9.194670733421075,11.178969216052636,20.373639949473713,16.292846382763173,9.194670733421075,14.940934974210531,32.00921466184213,27.41199275315791,17.068279687631602,2493.5,Kein_Niedermoor,Agriculture,0,P0135,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,28.811243003194615,36.6213054605906,24.50985342486863,7.810062457395988,22.357089890093953,30.16715234748994,21.290407855376433,7.810062457395988,12.827269330550314,36.6213054605906,30.516664964755055,23.794036130040297,2481.9,Kein_Niedermoor,Agriculture,0,P0138,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f,23.694619680241953,31.707664586532296,21.497282231476447,8.013044906290345,14.384365046854835,22.397409953145182,17.138439901885103,8.013044906290345,9.716608513790344,31.707664586532296,28.471429958822604,21.991056072741955,2540.5,Kein_Niedermoor,Agriculture,0,P0144,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,22.88766131191306,34.13202186930437,24.413886690031635,11.244360557391307,16.940772155217402,28.18513271260871,20.657141046595335,11.244360557391307,9.693202547217375,34.13202186930437,29.84029706388408,24.438819322086996,2528.7,Kein_Niedermoor,Agriculture,0,P0147,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097,24.682386213097818,33.63491482396741,23.02369206487472,8.952528610869587,19.667096673994568,28.61962528486416,19.45486579855486,8.952528610869587,12.708969272119576,33.63491482396741,30.197224068205056,20.92594555184783,2481.9,Kein_Niedermoor,Agriculture,0,P0152,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098,25.766147718755413,35.621941719450085,25.03960820594792,9.855794000694669,25.16854822489145,35.02434222558612,22.129980716026857,9.855794000694669,15.503619339247457,35.287707838987,30.37392527080321,19.784088499739536,2522.9,Kein_Niedermoor,Agriculture,0,P0153,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d,27.82024003027172,36.22002000736415,21.290722242326783,8.39977997709242,15.860495169293474,24.260275146385897,18.060520509824624,8.39977997709242,11.924185378451083,36.22002000736415,28.72847384490219,24.295834628913052,2505.2,Kein_Niedermoor,Agriculture,0,P0158,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2,29.36166238107089,37.56801193435603,21.250749596500086,8.206349553285134,14.174890033285072,22.381239586570207,16.07783259756982,8.206349553285134,22.90829717305355,37.56801193435603,28.050448300398546,14.659714761302478,2505.3,Kein_Niedermoor,Agriculture,0,P0163,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8,40.55060368669356,49.34568605604842,30.795622265806852,8.795082369354851,29.46158204298386,38.256664412338715,27.135003864108526,8.795082369354851,20.179296368951608,49.34568605604842,38.86100434477421,29.166389687096807,2517.0,Kein_Niedermoor,Agriculture,0,P0169,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad,35.2615234360745,44.22165050936964,26.565914439877627,8.960127073295137,23.699767179713486,32.65989425300862,20.884711294376814,8.960127073295137,12.411800201604564,44.22165050936964,37.36282534166191,31.80985030776507,2528.5,Kein_Niedermoor,Agriculture,0,P0174,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af,24.99425888379161,37.50101676376269,27.318126766309724,12.506757879971078,24.98290670448626,37.48966458445734,25.352690597965708,12.506757879971078,7.250515733487706,36.667796481649816,33.21443527134176,29.417280748162106,2499.4,Kein_Niedermoor,Agriculture,0,P0176,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4,30.551616137861263,41.18560399566475,27.995161231441166,10.63398785780349,24.204866688728316,34.838854546531806,24.22655381487011,10.63398785780349,16.60937425647396,41.18560399566475,34.32723490739886,24.576229739190786,2505.2,Kein_Niedermoor,Agriculture,0,P0181,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7,31.30845300314091,41.18399512488591,27.381852858825297,9.875542121744992,22.518154333208038,32.39369645495304,22.396738339060423,9.875542121744992,16.845915733610738,41.18399512488591,35.539312982076886,24.33807939127517,2516.9,Kein_Niedermoor,Agriculture,0,P0184,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc,24.46206281505781,32.5451309777746,21.132796160171566,8.083068162716785,19.507025408150287,27.590093570867072,17.017925942058714,8.083068162716785,11.098439362716784,32.5451309777746,26.31544459752893,21.446691615057812,2517.0,Kein_Niedermoor,Agriculture,0,P0189,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bf,26.11467919123471,41.12498081972863,29.57727698337118,15.010301628493922,22.341783380678418,39.800398358154695,28.036040503665614,17.45861497747628,16.648567875061044,41.12498081972863,33.90265818225239,24.47641294466759,2508.1,Kein_Niedermoor,Agriculture,0,P0192,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1,24.2466247160816,37.40959319330611,25.51223925293431,13.162968477224513,24.2466247160816,37.40959319330611,23.755222749591848,13.162968477224513,8.748536123999983,32.92907121297959,29.9826886015796,24.180535088979614,2490.6,Kein_Niedermoor,Agriculture,0,P0194,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c6,32.55483284915436,44.73848358783893,21.869596736100313,12.183650738684571,16.302854292885907,28.486505031570474,18.181298606120823,12.183650738684571,23.180277568590615,44.73848358783893,31.82041376402169,21.558206019248313,2499.3,Kein_Niedermoor,Agriculture,0,P0199,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c9,17.753388792850963,29.99667718327065,21.200905252425077,12.243288390419679,15.556883072040531,27.800171462460213,19.35920845681984,12.243288390419679,7.194462184081032,29.99667718327065,26.25050995057889,22.802214999189612,2506.0,Kein_Niedermoor,Agriculture,0,P0202,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d1,17.341148869840833,33.086028096584705,23.235550491655232,15.74487922674387,13.11361708246021,28.881027540897282,21.326727983846624,15.767410458437066,10.039466712503648,33.086028096584705,26.49614159672939,23.046561384081052,2506.0,Kein_Niedermoor,Agriculture,0,P0210,"{""type"":""MultiPoint"",""coordinates"":[]}"
