system:index,S1_m01_ASC_VH,S1_m01_ASC_VV,S1_m01_ASC_VV_minus_VH,S1_m01_DESC_VH,S1_m01_DESC_VV,S1_m01_DESC_VV_minus_VH,S1_m02_ASC_VH,S1_m02_ASC_VV,S1_m02_ASC_VV_minus_VH,S1_m02_DESC_VH,S1_m02_DESC_VV,S1_m02_DESC_VV_minus_VH,S1_m03_ASC_VH,S1_m03_ASC_VV,S1_m03_ASC_VV_minus_VH,S1_m03_DESC_VH,S1_m03_DESC_VV,S1_m03_DESC_VV_minus_VH,S1_m04_ASC_VH,S1_m04_ASC_VV,S1_m04_ASC_VV_minus_VH,S1_m04_DESC_VH,S1_m04_DESC_VV,S1_m04_DESC_VV_minus_VH,S1_m05_ASC_VH,S1_m05_ASC_VV,S1_m05_ASC_VV_minus_VH,S1_m05_DESC_VH,S1_m05_DESC_VV,S1_m05_DESC_VV_minus_VH,S1_m06_ASC_VH,S1_m06_ASC_VV,S1_m06_ASC_VV_minus_VH,S1_m06_DESC_VH,S1_m06_DESC_VV,S1_m06_DESC_VV_minus_VH,S1_m07_ASC_VH,S1_m07_ASC_VV,S1_m07_ASC_VV_minus_VH,S1_m07_DESC_VH,S1_m07_DESC_VV,S1_m07_DESC_VV_minus_VH,S1_m08_ASC_VH,S1_m08_ASC_VV,S1_m08_ASC_VV_minus_VH,S1_m08_DESC_VH,S1_m08_DESC_VV,S1_m08_DESC_VV_minus_VH,S1_m09_ASC_VH,S1_m09_ASC_VV,S1_m09_ASC_VV_minus_VH,S1_m09_DESC_VH,S1_m09_DESC_VV,S1_m09_DESC_VV_minus_VH,S1_m10_ASC_VH,S1_m10_ASC_VV,S1_m10_ASC_VV_minus_VH,S1_m10_DESC_VH,S1_m10_DESC_VV,S1_m10_DESC_VV_minus_VH,S1_m11_ASC_VH,S1_m11_ASC_VV,S1_m11_ASC_VV_minus_VH,S1_m11_DESC_VH,S1_m11_DESC_VV,S1_m11_DESC_VV_minus_VH,S1_m12_ASC_VH,S1_m12_ASC_VV,S1_m12_ASC_VV_minus_VH,S1_m12_DESC_VH,S1_m12_DESC_VV,S1_m12_DESC_VV_minus_VH,area_m2,cls_bin,cls_det,is_moor,poly_id,.geo
0000000000000000007f,-13.546111199725853,-7.543397287118408,5.80668759487941,-18.000429545248092,-10.66927563253228,6.412751104860746,-16.07650498051224,-8.259207363959021,7.137734641735923,-17.937147235225417,-10.616981753499788,7.1000831691636925,-19.298551064498092,-9.240724650117373,10.078427851638406,-22.004184101300773,-12.092908172214276,10.579768107953395,-22.089296407682824,-6.826487429300883,15.894397809053,-23.679240016200414,-9.475375082868904,13.140861078294465,-17.269909688382494,-8.37463688532219,10.002671456419664,-19.496422022346508,-9.441145146988948,8.838297757208588,-13.900120449906762,-8.157738666560093,6.182806642971986,-14.187293360872978,-6.972897536452227,6.663763142894174,-14.383918625837754,-8.099626289441304,6.761541656839624,-14.536547623566964,-7.879261105368406,6.808366260466605,-14.998709340564123,-7.31739132635866,8.017683252031441,-14.846297015080992,-7.639523064958848,7.27543619815726,-15.706437842308361,-7.845815439641046,7.984160984077468,-15.326584244656722,-8.41277325157936,7.030241105267407,-17.29938605394994,-3.0763975578294547,14.299529233380792,-17.757964347845043,-6.0933181988774034,11.761640173752268,-17.153637302292722,-4.2828953764348245,13.095008567957969,-18.6445371086409,-6.891778683119021,11.981959484353167,-18.478323834056752,-3.875411059496619,14.353250748236857,-18.582295726049786,-7.225449153740876,11.182974267088834,2517.0,Kein_Niedermoor,Agriculture,0,P0128,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,-19.015345955985488,-10.201713607792978,8.37313344197187,-19.728529724537708,-10.216317038533987,10.22105005095156,-19.8676825527469,-10.106800171996463,9.686077290152138,-21.032474097755582,-12.071235655536318,8.827791409679861,-19.690314901688645,-10.639327374341757,9.198104485983817,-22.031454928738263,-12.57082923036689,9.620086693381108,-21.86869160938207,-16.444499511706134,5.136154377697544,-21.608276551436457,-16.432362178717263,5.466887554526638,-20.724921983591415,-14.944169304514698,5.563887582392024,-24.10925117080243,-18.071936339035318,6.054239589570422,-18.56300002743717,-12.050110705311443,6.443381049696128,-15.730948213562577,-10.383363850770415,4.926674783435919,-18.673660082724204,-10.232189661080376,8.422068879668206,-20.434660951840872,-12.114198724958275,7.137408390656903,-21.336088829900252,-10.721701946923606,10.722876720811055,-22.723200294972344,-12.130047997030676,10.034334130706444,-19.268451172464353,-8.991006484520142,10.06036269319412,-20.139901551052084,-8.938726533232893,10.802790509728684,-15.589299880595188,-6.400555952308036,9.159705535484044,-16.483264579951246,-7.086995025650912,9.306688084062545,-15.830164154456323,-8.135914975684805,7.657524982145491,-17.286939654966893,-7.881099548887483,10.031207150397702,-16.12046406100043,-8.433682102258523,7.838803059753676,-17.647544290086724,-8.606072150791652,9.055584719719212,2493.5,Kein_Niedermoor,Agriculture,0,P0135,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,-20.88351146747199,-10.745132324692133,9.81601962764832,-21.556321919918876,-12.624842850615819,8.732083740938233,-21.00096783688604,-11.815859595473853,9.113697999017445,-21.71119046045842,-13.287523030060179,7.605969002494113,-21.16085248819156,-11.743404297194784,9.090019915312268,-23.433029128216194,-14.385415626500116,8.845277686450148,-20.587282809941016,-12.670456353927424,8.251470650864647,-23.1742419557582,-14.180356443797299,7.746777524705049,-20.93834038626086,-12.805236328990187,8.216169366751345,-22.187797652142432,-14.443633795962329,7.677808002294096,-19.72232452916753,-12.371579932886615,7.290942624053015,-20.435714275218437,-13.979726994225597,6.475107351892953,-19.45884972175142,-11.93387506677241,7.7849180054091836,-20.414370565446212,-13.432611397163514,6.763369699317723,-20.159099921728476,-12.325828081774262,7.803064559403553,-20.452861744300996,-14.42665850001129,6.305007573291841,-19.712081136772024,-12.308435315708552,7.343938446851157,-20.386874126875945,-12.647269754450729,7.283098292468644,-18.6455688321612,-11.17190848198187,7.5122172572781905,-19.987587329571635,-11.997104046020176,7.1728793986464865,-19.290497463294397,-11.606778290398406,7.513714138775445,-20.706065091364042,-12.856948407669893,8.351320419104047,-17.882546506865683,-10.266395596536661,7.376255603118709,-21.14466957671018,-12.764058172989179,8.006610113021548,2481.9,Kein_Niedermoor,Agriculture,0,P0138,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f,-18.327567380882538,-9.004311540125062,9.44848364577757,-17.581873896622284,-9.125068259574988,8.594880490732045,-19.347752379037246,-8.515363929878593,10.67794644467312,-19.175431109132777,-10.485303888672242,8.832323089287263,-20.272193596103097,-11.224477085378446,8.883500041564549,-21.278646346267575,-11.397457859382566,9.363300333060455,-20.494788762385955,-14.108154334436517,6.347827537165189,-20.224506204215974,-14.103717313783,6.272959000747684,-23.39996658210869,-17.61145369897595,6.272287856524269,-24.47814446488121,-17.939485631567816,6.66383861420577,-19.970794791318628,-13.752560260503884,5.694199665639294,-20.611220615487248,-14.74268702498211,5.854281752344447,-17.010135365759837,-11.16839027185293,5.886587553030904,-18.16555615364235,-10.570113553854263,7.1698955127960495,-22.788488855201656,-11.87778415078335,11.196738487808984,-22.40780922339443,-13.065846927663035,9.480515171857803,-20.52065685372382,-10.694644111712233,11.008083743282416,-19.85404754249496,-11.093932729031055,8.737453347258223,-18.786199362503936,-9.800057310961684,9.330094551233845,-18.521299377250266,-8.929211412728094,9.405396398856338,-20.21335400992928,-11.488835773367283,8.835995627010796,-18.65925584944008,-9.976010161824613,9.133351362863488,-19.37605157123335,-9.165073161578654,10.535329368002833,-19.121086866641267,-9.49659605688976,9.906237612530997,2540.5,Kein_Niedermoor,Agriculture,0,P0144,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,-18.766322648783024,-8.985303779781974,10.884814369699228,-20.56670168661646,-8.224266950507761,11.06011301368547,-19.907798346368537,-9.959652233505064,10.217297726760549,-21.715481420089237,-11.10042121547609,10.547170111837403,-23.827637444345886,-14.91730837916463,9.067620073480951,-26.802422992922203,-14.988373375222727,11.388367463403615,-19.49455090868196,-14.833048249012142,4.694603080025622,-20.75603275311068,-13.590860200481961,7.335996519570684,-22.61315121751711,-19.002683739954918,3.557070287530088,-23.926462161197158,-19.475188943739745,4.091756424610454,-20.660364827278478,-14.478269237216766,6.273926857750389,-20.122703820305617,-15.27414370087131,5.569083653875666,-16.68011180109547,-8.998593696763333,7.722442609227331,-17.833566943791205,-10.268509229033143,7.417315001807147,-24.234258253173444,-12.73531596586252,10.701706085729366,-24.014751400987766,-14.675852758252756,9.495517419182594,-25.408516828436007,-14.651516106531679,10.23339007124156,-21.708710515904457,-13.22397946539185,9.15682408260011,-19.951289077897812,-10.80063318551178,9.760241872678602,-20.841838380833153,-9.930806341602707,10.564937515729088,-19.891204488150578,-8.379454637379617,11.896544380845423,-21.014031358231872,-8.92820042529167,11.621399240306383,-20.324459461479975,-8.760132180756697,11.42192353929526,-21.398233000138937,-9.352775695299506,11.567357528623964,2528.7,Kein_Niedermoor,Agriculture,0,P0147,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097,-17.09228793883003,-8.52691826681033,8.904598710709163,-21.055055694072404,-5.374169693467575,16.170851841661666,-17.211396411301394,-9.435915291213956,8.228334224778166,-20.59705459031725,-5.144507659198844,15.775370211053321,-16.95499404487817,-8.641295739823876,7.719526044009986,-20.72410012518354,-6.223523269401765,14.505639830782542,-15.810027443296985,-8.745458012010785,7.890093326280761,-18.40545420918012,-5.531587231563218,13.156604276243373,-16.289213783863477,-8.373747027678508,7.957684363308944,-17.468929036560937,-6.386048341380782,11.018589070501028,-16.622175592361366,-8.843625323114729,7.47481683134119,-18.16227411557943,-6.389034977072811,12.00821109429884,-16.92044108309646,-8.871381040224671,7.889806070458424,-19.209347132233173,-6.877284163947039,12.17297933064916,-16.353268683515402,-9.506642558753924,7.4658629757619375,-19.555219634609706,-6.528350801229902,12.63272968644295,-17.6950074614796,-9.949315643531445,7.866727171228572,-19.660426388626625,-6.414777706933814,13.472725786763203,-18.357797296499186,-9.335091291963279,8.873528284662004,-19.63639200137404,-7.171417198117208,12.763216412248296,-18.45319946473056,-9.227876619608345,8.86908748506012,-20.305377758824143,-5.619421910155403,14.254685804373308,-18.43151858648127,-9.439622534910765,8.828687809219247,-20.823910070875108,-6.10648387553565,14.848170624449768,2481.9,Kein_Niedermoor,Agriculture,0,P0152,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098,-20.31243489327387,-10.10202131025304,10.661130934074736,-19.171754906330072,-7.5582789718186705,12.651051400901586,-20.612425917778033,-9.644557980282595,11.646361606206916,-22.259542644152837,-10.046624349319448,12.535930569325256,-23.809602946039846,-13.629043784285562,11.348162652711695,-25.383649705493898,-12.000948059916084,13.313147276131744,-24.404960878838168,-13.50475076912803,10.173239499342621,-25.202762514836667,-12.776867085987615,12.694211249463116,-22.09653059249417,-13.016431750898159,8.169398269558618,-24.052032949109694,-12.58555611244709,11.39049158549097,-16.675070866623205,-10.453497310004181,6.617366742562045,-17.98583290358956,-10.87799528741051,7.433142414427619,-17.430609183843632,-10.498558955310305,6.985232347020415,-18.39811254045682,-11.393166548486377,6.722797204393729,-18.141094723291374,-12.1216962502277,6.2264402018217915,-17.97613649480001,-12.012645554332025,6.255636326950272,-22.195233789069036,-13.970991705706115,8.248995159318696,-20.93505396104382,-11.379523745570705,9.499035152137145,-21.64767078078345,-11.099990285141924,10.460916005847283,-21.3523080894413,-9.605926392464701,11.97598743454272,-23.092974779077913,-11.634966087518519,11.507629488945376,-22.770059077447495,-11.15495306569407,11.40221734109582,-20.682286194050853,-10.533941052171203,10.851581173946208,-21.809319684988267,-8.936893050895305,12.801383792707949,2522.9,Kein_Niedermoor,Agriculture,0,P0153,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d,-17.323311202971855,-6.939414601500628,11.008548571251907,-19.558936679640293,-11.459613426223395,8.687962595817481,-22.021132107008263,-10.196829016483534,10.341592885139015,-20.89484350432592,-11.377032468132137,10.1151614762507,-24.0958275099631,-12.89547233743004,11.41094811262224,-23.641143274149947,-12.899226306398663,11.084914409521172,-22.04775047198048,-14.625134567239321,7.399126783449239,-21.465522241911856,-14.19505008459872,7.554694258486792,-21.932789153876996,-16.867939705057417,4.726573965853149,-22.781117581938066,-17.749699776981814,5.408436913865147,-19.482923467278724,-13.93690249429812,5.606982412558678,-20.5406719831226,-15.308999116505145,5.385552237726877,-16.231611021420335,-9.47995551773327,6.595737214746036,-17.836009015200247,-11.105686232903125,6.300973082105507,-16.90641821371297,-9.753438318063672,7.3731565824251355,-19.125423171608965,-10.592700046631343,8.385483802235981,-19.842167080859852,-9.556086847438129,9.740986406214628,-19.729882422755704,-10.222000432661835,8.811921514283819,-17.241981433770142,-7.130138060462356,9.879957286829342,-17.223844586376135,-8.773549920700509,8.531817953064037,-18.522228824623696,-8.987140627074332,9.834770636253998,-19.07700650287525,-9.73835379941357,9.231332091840873,-17.099991903900673,-8.220688123302281,9.170257368461527,-18.42211112744656,-9.365533259833066,9.67973081433869,2505.2,Kein_Niedermoor,Agriculture,0,P0158,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2,-15.428580271915584,-8.983714365524404,6.337452478944277,-14.376203312077624,-7.880554212303013,6.194952396086563,-15.251261648620481,-9.348123412036319,5.614160799804331,-14.73924300240834,-8.909975210628879,5.37285182416784,-15.816880226492739,-9.68327030412485,6.200655398671003,-18.497680507040343,-10.732044113563306,7.62341065174291,-15.932398563746151,-9.936111828202518,5.4209357522856765,-16.375228203210895,-9.623368925416685,6.269547740382807,-12.84281405526326,-8.622769071452309,4.1473693413772725,-14.02693443204954,-10.5174073189194,3.646234903511594,-9.877297080521494,-6.201050271212335,3.644394955507711,-10.540991190575683,-7.405535692655032,3.774754836488162,-13.993336529664536,-7.733301822163699,7.103857705048918,-16.99159103668243,-11.658439606506674,5.017225712711074,-19.496561243657,-11.562568512514641,7.7743461074602065,-20.59566443860166,-12.544644276209782,8.327397312874446,-24.539895223073223,-13.922013023605594,10.614611732349847,-23.83670005813075,-14.299318940877681,11.157599974769454,-22.484102971325544,-8.6699086375465,13.393366720469883,-22.688067981063384,-9.533700520417632,12.82285378718179,-20.961821368476652,-7.69388276448418,13.200408983630545,-22.362198923367252,-9.303833894556591,12.988604407238803,-20.48735142564525,-8.055653171261248,12.296716755808495,-22.114756779762892,-9.562316118475355,12.753061315485661,2505.3,Kein_Niedermoor,Agriculture,0,P0163,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8,-20.62808383057867,-10.316765265969508,10.573398896415405,-20.918134301364137,-11.096156489384711,9.956927131839954,-22.64498157678238,-10.899814824327002,11.722331839898882,-22.587941169908717,-11.769848813059788,11.459269719694252,-22.290630419891777,-14.071096615121697,8.86360760590453,-25.963551530156067,-13.10153800314362,13.204476326038527,-22.298717525557233,-12.475930934460653,9.941691857411968,-23.323559421652554,-12.23770537405985,11.219225689187887,-20.927067129003312,-13.586340355849249,7.509741091473376,-21.067434104093874,-12.2881219865409,9.105673660883346,-22.1290484288401,-13.805257169581132,8.467332197641575,-23.0813353312557,-13.403275794308819,9.961790710392785,-16.453538085666157,-11.91901051201494,4.999345034930236,-17.306315475796954,-12.241620846657101,5.5492718657562765,-19.037470048353956,-14.056932669241135,5.279036706167172,-19.054298503124684,-14.024339574873153,5.271929770138222,-22.847370800429147,-15.59783842920869,7.566220947761311,-19.134051192869645,-12.911825000758764,6.460351941945074,-19.433595098573548,-8.112557095803039,11.65504997627148,-22.933475322113388,-6.890667450760525,15.533056238480926,-24.793518121024107,-12.630129516066233,12.723343133069823,-25.568298763762535,-12.290276490996598,13.045404129107975,-24.88425940600194,-9.850316970120591,13.198363619194026,-26.119437748298974,-12.133448804135657,14.386204564859128,2517.0,Kein_Niedermoor,Agriculture,0,P0169,"{""type"":""MultiPoint"",""coordinates"":[]}"
